Timestamp               Ty Process[PID:TID]
2026-07-17 01:11:39.647 Sp App[12621:3e522c] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=355
2026-07-17 01:11:42.696 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=404
2026-07-17 01:11:45.558 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=266
2026-07-17 01:11:45.596 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/notifications status=200 ms=295
2026-07-17 01:11:45.646 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/approvals status=200 ms=466
2026-07-17 01:11:46.009 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/actions status=200 ms=362
2026-07-17 01:11:48.959 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=667
2026-07-17 01:11:51.631 Sp App[12621:3e522c] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=339
2026-07-17 01:11:54.997 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=705
2026-07-17 01:11:57.625 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=334
2026-07-17 01:12:00.645 Sp App[12621:3e5674] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=353
2026-07-17 01:12:03.640 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=348
2026-07-17 01:12:06.641 Sp App[12621:3e522c] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=348
2026-07-17 01:12:09.645 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=353
2026-07-17 01:12:12.663 Sp App[12621:3e5674] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=370
2026-07-17 01:12:15.564 Sp App[12621:3e505d] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=272
2026-07-17 01:12:15.631 Sp App[12621:3e522c] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/notifications status=200 ms=331
2026-07-17 01:12:18.795 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=503
2026-07-17 01:12:21.669 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=376
